0.808804175623927 - 0.495632352299250i	0.328558021715971 - 0.741622589971319i	-0.0893933908306480 - 0.664318963537798i	-0.270783624901463 - 0.364062703098600i	-0.274562426591018 + 0.342476511270128i	-0.0760671652556125 + 0.693112460328067i	0.407458079460296 + 0.804941425968871i	0.781261106666199 + 0.495912636408489i
0.774632464297527 - 0.478386107947781i	0.364821192760636 - 0.786443322029057i	-0.0834596083562294 - 0.634233935304026i	-0.269603659982106 - 0.371375700724037i	-0.371851427777886 + 0.354819628268254i	-0.0661912727854420 + 0.665636472843460i	0.335590723618971 + 0.804816895208578i	0.843505322591882 + 0.506280099601373i
0.811370256511578 - 0.539262842805946i	0.384339060787293 - 0.791668549560006i	-0.0624475793887015 - 0.682372206136328i	-0.261970474276330 - 0.348541099032698i	-0.277464743534068 + 0.320846601110841i	-0.0650751870936533 + 0.622367526143402i	0.349240564649788 + 0.743951401286847i	0.819388192231422 + 0.494817559377962i
0.744377827409633 - 0.508484034132565i	0.388546470795190 - 0.792908114717957i	-0.0686727733558023 - 0.692507120601250i	-0.294047286331982 - 0.363690537081685i	-0.306492054525595 + 0.344372659354441i	-0.0585196057078047 + 0.663996178039001i	0.349772835782756 + 0.730002498903845i	0.776504116826107 + 0.517254776118598i
0.819093819114892 - 0.506483743542201i	0.360318094375227 - 0.754347403041275i	-0.0542879192575387 - 0.693586705275396i	-0.320338227951045 - 0.367691954733204i	-0.324074591622848 + 0.360184664899336i	-0.0465575626642652 + 0.630540171071360i	0.363238690317592 + 0.791054592944212i	0.828040571226493 + 0.524655536657048i
0.802792187017909 - 0.538135246681811i	0.339194218159301 - 0.772467470741847i	-0.0497353392701500 - 0.635438068360561i	-0.252023557030201 - 0.346269767807060i	-0.307592349145273 + 0.355313487889983i	-0.103204286804980 + 0.676595899514801i	0.329303344415081 + 0.757758989091223i	0.782411046600162 + 0.539160062889525i
0.828334713546334 - 0.495795619472784i	0.357367820768534 - 0.762021445375775i	-0.0480901906698152 - 0.635165597674753i	-0.309679342703429 - 0.341887393015091i	-0.312148860551160 + 0.348118523632054i	-0.0914093071590505 + 0.674374750026508i	0.357064884297557 + 0.738080708440965i	0.761612902850369 + 0.486997056478468i
0.812160692583612 - 0.506864050539623i	0.347739216288334 - 0.772188370464510i	-0.0656281924722600 - 0.667483188905695i	-0.257649804590450 - 0.374392250912722i	-0.279229489250622 + 0.327144154449040i	-0.0781938464928299 + 0.644414944333288i	0.333540997111555 + 0.765092295772820i	0.821356793244205 + 0.490685010531030i
0.803333968692093 - 0.534587744716818i	0.373344292525619 - 0.736198352201090i	-0.0826374490289334 - 0.658539727725953i	-0.341415545296701 - 0.334120229453518i	-0.283647169740246 + 0.353419757217350i	-0.109899151018457 + 0.652005727170650i	0.347083192527095 + 0.790750052638298i	0.831773618653703 + 0.526195818824803i
0.794129002193473 - 0.545535969798678i	0.367347171956815 - 0.766626531480225i	-0.132929005012939 - 0.646468790390989i	-0.275575174757149 - 0.337217273224355i	-0.271690603967931 + 0.314090281016105i	-0.0449336874188177 + 0.678533499781309i	0.389318199845464 + 0.772048019515963i	0.791652351980217 + 0.508954040350948i
0.814086393786428 - 0.538503377824274i	0.347772364592520 - 0.785568254778816i	-0.0964276149729171 - 0.694759030003765i	-0.339402604715935 - 0.400320934206981i	-0.294042773088790 + 0.336823242045633i	-0.0887049628235381 + 0.622499783569537i	0.315203846558861 + 0.754635131850914i	0.791265160243218 + 0.510609525652648i
0.804730655898694 - 0.472160286682334i	0.370579882714486 - 0.767894531382580i	-0.0967561261246415 - 0.681039855223791i	-0.321377632158109 - 0.326629958501454i	-0.280560340531703 + 0.330426498032055i	-0.0958556688122397 + 0.682136077526796i	0.381799799478095 + 0.773695871071384i	0.822551526155675 + 0.524733895902262i
0.824727502543927 - 0.512908643959343i	0.345907742384921 - 0.768063915329590i	-0.0774130919750997 - 0.665767253605953i	-0.276699573695578 - 0.349077917256601i	-0.260835376363232 + 0.353276625152620i	-0.0798713342024400 + 0.668490958941661i	0.372388734815589 + 0.783396410816652i	0.848817960918325 + 0.519127117135415i
0.842089240864798 - 0.523542752935073i	0.395891925204588 - 0.748515439782746i	-0.0508004146301847 - 0.683995224318528i	-0.289399624076396 - 0.366011167869964i	-0.262585087489317 + 0.406630578716309i	-0.0866003037734877 + 0.686781954871289i	0.355423093751171 + 0.752580662686254i	0.814114272796655 + 0.563057379973619i
0.829397899299953 - 0.511445678791420i	0.373545285380398 - 0.740147570171751i	-0.0376639654863670 - 0.656955017565126i	-0.293683604533194 - 0.330781058735693i	-0.274058146905979 + 0.345076257687726i	-0.0703727641571359 + 0.667993422905344i	0.367711264093897 + 0.723167000343648i	0.809155308984626 + 0.499103636917373i
0.836217088949975 - 0.478408626221411i	0.369351467989504 - 0.761242916798372i	-0.0850128744610539 - 0.687534648761963i	-0.276219642391959 - 0.377251648502708i	-0.299389895715138 + 0.348202342523261i	-0.0783253556194377 + 0.654314371584022i	0.403102228385169 + 0.736341634813226i	0.811697346306774 + 0.541034380490240i
0.798436634864842 - 0.526566664681592i	0.303020033116216 - 0.783996683906406i	-0.0861332629111489 - 0.697316377540708i	-0.293035805977956 - 0.380856584481527i	-0.279657718826875 + 0.333693793836589i	-0.104708079328115 + 0.648397162549968i	0.369361940244748 + 0.769785063255706i	0.749427495312675 + 0.485380274909066i
0.819653924637830 - 0.495259836117346i	0.353955623898800 - 0.761176331083589i	-0.102850878989198 - 0.663269745522658i	-0.286007437739841 - 0.341722097676050i	-0.245975842993306 + 0.332576099252152i	-0.0682258544011311 + 0.635464643951738i	0.337900382176161 + 0.777748514375899i	0.779978493981372 + 0.542683384772516i
0.840409177589129 - 0.498767917157138i	0.344884032670158 - 0.780149141279704i	-0.0989524484668572 - 0.692076365804584i	-0.300105414103214 - 0.339597778812212i	-0.278721153421049 + 0.351780025148618i	-0.0368825757860559 + 0.678016112247443i	0.368054528965718 + 0.786664614020564i	0.828844197766744 + 0.490612243865832i
