0.917918599996676 - 0.325654816614661i	0.792785545231106 - 0.568202968400976i	0.580260138244648 - 0.762759604656202i	0.248807835001816 - 0.843287295423742i	0.272247246224110 + 0.815662215645924i	0.494135085497991 + 0.719837862334732i	0.776121107757192 + 0.575971619030553i	0.961456917353764 + 0.303528084432705i
0.956274254405120 - 0.305339397205709i	0.776040394509801 - 0.565025152435097i	0.487090926880709 - 0.752561842965747i	0.244798369709177 - 0.773205152080152i	0.231282216702659 + 0.782858079749365i	0.526834218653632 + 0.737027649582276i	0.744078035858526 + 0.574017456902554i	0.957556552148332 + 0.290066274482110i
0.951457710961930 - 0.327953298451772i	0.794378496267487 - 0.570749232006143i	0.498028405407950 - 0.755153458055211i	0.272891040667975 - 0.755578578418195i	0.255394271899930 + 0.820307728135630i	0.525433335926757 + 0.752176327217418i	0.805478720097700 + 0.544859190956939i	0.949419896165718 + 0.325031488228733i
0.915471228274896 - 0.325632481850802i	0.815626678663927 - 0.588262314188631i	0.559922497376238 - 0.751781049724015i	0.294576074925509 - 0.823298725347959i	0.284339295347269 + 0.836820682791979i	0.518792373656855 + 0.714369824543835i	0.761305835446321 + 0.584238561027494i	0.915067794123491 + 0.284652582673664i
0.923273573243227 - 0.290459366843675i	0.771713432005637 - 0.574028256881410i	0.560967694359402 - 0.709220771891525i	0.265131508957926 - 0.809099350134785i	0.266130821872364 + 0.762020233567623i	0.518959216412016 + 0.705514115155962i	0.751406583356921 + 0.569732336669688i	0.898620062653592 + 0.336178165981875i
0.974203133910017 - 0.308569562435216i	0.781407612826293 - 0.597130136316696i	0.508824620824568 - 0.731559896844448i	0.296631594881199 - 0.796521125260000i	0.240307479116750 + 0.819278104058071i	0.524109397537228 + 0.754239930102878i	0.711194028849602 + 0.526528485741571i	0.963201357919463 + 0.331369741151724i
0.954025148060980 - 0.344398216623933i	0.802883925849854 - 0.616062704446032i	0.531689336253870 - 0.756099309855316i	0.284242006286627 - 0.834745882455430i	0.238807386847015 + 0.802034269166963i	0.522735100804037 + 0.757915866754310i	0.775666104515984 + 0.562890780628876i	0.941047588892388 + 0.317720037641436i
0.959820772700376 - 0.316736234394495i	0.810280854767562 - 0.548704148195615i	0.561288642365917 - 0.720463980104780i	0.273533775240122 - 0.785765531971199i	0.288501260234374 + 0.816522081955598i	0.524938160921876 + 0.754219237347255i	0.793957924649896 + 0.586902773648514i	0.977600307593515 + 0.296432631787970i
0.959833631537709 - 0.326066365799748i	0.773174452273291 - 0.610247386652327i	0.504106296137541 - 0.719755472139522i	0.265740007395060 - 0.805805417355560i	0.249222951846596 + 0.821537055491841i	0.589455327793463 + 0.727841456946329i	0.781178158802829 + 0.575809618248258i	0.962874696499392 + 0.316577652754776i
0.976199933402463 - 0.326076857899345i	0.769517174737002 - 0.532074153305755i	0.534790034157796 - 0.780771521777279i	0.226924163933894 - 0.770414519952308i	0.263138392561185 + 0.810709217866498i	0.555617275242410 + 0.744669416575164i	0.829800512669406 + 0.563067760465480i	0.898542132574176 + 0.330365633814652i
0.919626441922004 - 0.304183104453092i	0.789566397807812 - 0.555082707127884i	0.555122984025956 - 0.755403792253378i	0.252621449702509 - 0.849555787561538i	0.244778521558285 + 0.793196186093023i	0.540103565782151 + 0.749647578585248i	0.792939351892707 + 0.610009907479077i	0.982522980233666 + 0.311383563913372i
0.931101898178041 - 0.315572362562881i	0.783670068828614 - 0.531784788117116i	0.555295399676756 - 0.751114599941666i	0.256782095177021 - 0.769038300134467i	0.296967820549739 + 0.805535450945014i	0.583341132013838 + 0.750809884349257i	0.766409453905083 + 0.578450952119219i	0.977872565547075 + 0.338477341600703i
0.952561061713176 - 0.311244280514077i	0.754325050654212 - 0.566244774601082i	0.532293362973086 - 0.708990291284047i	0.240980792272824 - 0.824841961321537i	0.246037060201577 + 0.812654250810505i	0.566792401911130 + 0.740252637548093i	0.743027789829551 + 0.615866312168332i	0.931209629003108 + 0.315091661962084i
0.958942335561168 - 0.301327031771739i	0.821384470399062 - 0.583142275698303i	0.538901680436122 - 0.714310080290509i	0.270503967404883 - 0.812794964198443i	0.310615539851532 + 0.800938218746117i	0.534473711252216 + 0.726575701812772i	0.765561089694772 + 0.553267765706758i	0.979984147173167 + 0.260359571129036i
0.955754904192441 - 0.318431414844729i	0.779124045009444 - 0.544096137170734i	0.534980589834346 - 0.756117539797090i	0.305315122260296 - 0.763540227098048i	0.247173616687490 + 0.807229229651675i	0.527899609001167 + 0.718874380389445i	0.753389694441221 + 0.583084226294036i	0.947970827439011 + 0.348288164781760i
0.944718343525678 - 0.339181062192431i	0.779186184499159 - 0.605370200415549i	0.521178611589575 - 0.750063585830867i	0.268991373703603 - 0.809279729511668i	0.260595176754446 + 0.761059131895427i	0.580009421596519 + 0.733048144812645i	0.770846671285394 + 0.548267078236962i	0.914071114486172 + 0.287779507407545i
0.919971956543923 - 0.293179283766397i	0.822171885564265 - 0.602307390409920i	0.523798485789053 - 0.709012287014426i	0.263798395680870 - 0.771621575780773i	0.262669627036808 + 0.838886361522487i	0.537763427385633 + 0.740070711452816i	0.735714621052605 + 0.576813015500675i	0.896353177625264 + 0.294471151446656i
0.919582350054762 - 0.280569576395643i	0.753897948985380 - 0.557270739906074i	0.533135083161743 - 0.719357404888423i	0.271769708196657 - 0.822916607752760i	0.241393213587461 + 0.831119302098478i	0.522972899934111 + 0.726546681409421i	0.813116680934480 + 0.578200144313416i	0.958434334643694 + 0.280212484470239i
0.973760604873877 - 0.325697192309362i	0.803863329994365 - 0.581803873547100i	0.556986122659360 - 0.708799626185656i	0.271798053774770 - 0.795726095829384i	0.254052187001440 + 0.786795873414303i	0.541903969532747 + 0.750644048225758i	0.797033915420405 + 0.600763783533687i	0.939925524204846 + 0.268385564663354i
